"","filename","TeamId","TeamName","UserId","UserName","DisplayName","RegisterDate","PerformanceTier","SubmissionDate","Score"
"1","aptos2019-blindness-detection-privateleaderboard.csv",3339442,"Guanshuo Xu",478989,"wowfattie","Guanshuo Xu","12/02/2015",4,"2019-09-07 21:33:31",0.936129
"2","aptos2019-blindness-detection-privateleaderboard.csv",3352276,"[ods.ai] Eye of Private LB",1285100,"aispiriants","Artur Ispiriants","09/22/2017",3,"2019-09-07 13:54:02",0.93431
"3","aptos2019-blindness-detection-privateleaderboard.csv",3352276,"[ods.ai] Eye of Private LB",1224218,"firenero","Mykhailo Matviiv","08/20/2017",3,"2019-09-07 13:54:02",0.93431
"4","aptos2019-blindness-detection-privateleaderboard.csv",3339072,"[ka.kr] Save our eyes",1155353,"youhanlee","YouHan Lee","07/05/2017",4,"2019-09-07 14:42:59",0.93372
"5","aptos2019-blindness-detection-privateleaderboard.csv",3339072,"[ka.kr] Save our eyes",852781,"pudae81","pudae","01/01/2017",4,"2019-09-07 14:42:59",0.93372
"6","aptos2019-blindness-detection-privateleaderboard.csv",3339072,"[ka.kr] Save our eyes",1183664,"songwonho","Ynot","07/24/2017",3,"2019-09-07 14:42:59",0.93372
"7","aptos2019-blindness-detection-privateleaderboard.csv",3339072,"[ka.kr] Save our eyes",1993754,"yslee04","Youngsoo Lee","06/14/2018",3,"2019-09-07 14:42:59",0.93372
"8","aptos2019-blindness-detection-privateleaderboard.csv",3339072,"[ka.kr] Save our eyes",1658108,"limerobot","Limerobot","02/22/2018",4,"2019-09-07 14:42:59",0.93372
"9","aptos2019-blindness-detection-privateleaderboard.csv",3339156,"Best Over Fitting",448347,"haqishen","Qishen Ha","10/22/2015",4,"2019-09-05 14:40:49",0.933693
"10","aptos2019-blindness-detection-privateleaderboard.csv",3340611,"盖瑞",1270655,"garybios","Gary","09/16/2017",4,"2019-09-07 21:21:12",0.933646
"11","aptos2019-blindness-detection-privateleaderboard.csv",3341991,"[ods.ai] topcoders",534152,"selimsef","Selim Seferbekov","02/20/2016",4,"2019-09-04 05:10:27",0.933495
"12","aptos2019-blindness-detection-privateleaderboard.csv",3341991,"[ods.ai] topcoders",518185,"victorsd","Victor Durnov","02/01/2016",4,"2019-09-04 05:10:27",0.933495
"13","aptos2019-blindness-detection-privateleaderboard.csv",3340118,"[ods.ai] Eugene Khvedchenya",1504864,"bloodaxe","Eugene Khvedchenya","12/19/2017",4,"2019-09-07 20:43:41",0.933155
"14","aptos2019-blindness-detection-privateleaderboard.csv",3348945,"Eye of Stars",991320,"drhabib","DrHB","03/27/2017",4,"2019-09-07 14:58:10",0.932106
"15","aptos2019-blindness-detection-privateleaderboard.csv",3348945,"Eye of Stars",2098915,"kimtuthap97","Thảo Shibe","07/25/2018",1,"2019-09-07 14:58:10",0.932106
"16","aptos2019-blindness-detection-privateleaderboard.csv",3348945,"Eye of Stars",1577135,"suicaokhoailang","Khoi Nguyen","01/24/2018",4,"2019-09-07 14:58:10",0.932106
"17","aptos2019-blindness-detection-privateleaderboard.csv",3384063,"The Zoo",85156,"dott1718","dott","02/14/2013",4,"2019-09-07 13:32:55",0.931033
"18","aptos2019-blindness-detection-privateleaderboard.csv",3384063,"The Zoo",37166,"philippsinger","Psi","03/29/2012",4,"2019-09-07 13:32:55",0.931033
"19","aptos2019-blindness-detection-privateleaderboard.csv",3384063,"The Zoo",489468,"ivovkanych","ivovkanych","12/17/2015",3,"2019-09-07 13:32:55",0.931033
"20","aptos2019-blindness-detection-privateleaderboard.csv",3384063,"The Zoo",1087706,"learnmower","Thomas Yokota","05/23/2017",3,"2019-09-07 13:32:55",0.931033
"21","aptos2019-blindness-detection-privateleaderboard.csv",3384063,"The Zoo",331718,"mmotoki","Matt Motoki","04/11/2015",4,"2019-09-07 13:32:55",0.931033
"22","aptos2019-blindness-detection-privateleaderboard.csv",3353277,"[kaggler-ja] CMY",1695531,"yasufuminakama","Y.Nakama","03/06/2018",4,"2019-09-07 14:13:23",0.930927
"23","aptos2019-blindness-detection-privateleaderboard.csv",3353277,"[kaggler-ja] CMY",390388,"mhiro2","mhiro2","07/24/2015",3,"2019-09-07 14:13:23",0.930927
"24","aptos2019-blindness-detection-privateleaderboard.csv",3353277,"[kaggler-ja] CMY",1554318,"bamps53","Camaro","01/16/2018",3,"2019-09-07 14:13:23",0.930927
"25","aptos2019-blindness-detection-privateleaderboard.csv",3340945,"4ui_iurz1",849476,"uiiurz1","4ui_iurz1","12/28/2016",3,"2019-09-07 14:30:42",0.930744
